,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,H02,SYBR,,NTC,,,27.446352202611,27.446352202611,0,NaN,NaN,NaN,0,60,
,H03,SYBR,,NTC,,,27.7801246927619,27.7801246927619,0,NaN,NaN,NaN,0,60,
,H04,SYBR,,Unkn,4531 D,,18.1238575609477,18.1238575609477,0,130157113015.991,11.1144679070529,130157113015.991,0,60,
,H05,SYBR,,Unkn,4531 D,,19.4142281748419,19.4142281748419,0,55051469740.3632,10.7407689180691,55051469740.3632,0,60,
,H06,SYBR,,Unkn,4531 D,,19.3859430881366,19.3859430881366,0,56099688148.2516,10.7489604470695,56099688148.2516,0,60,
,H07,SYBR,,Unkn,4720 B,,18.6746869734459,18.6746869734459,0,90145580480.9945,10.9549444396578,90145580480.9945,0,60,
,H08,SYBR,,Unkn,4720 B,,18.7329456612869,18.7329456612869,0,86710637234.4901,10.9380723778553,86710637234.4901,0,60,
,H09,SYBR,,Unkn,4720 B,,19.0477355371236,19.0477355371236,0,70292236462.7826,10.8469073613276,70292236462.7826,0,60,
,H10,SYBR,,Unkn,4761 B,,20.0420646994088,20.0420646994088,0,36219607019.1337,10.5589437339309,36219607019.1337,0,60,
,H11,SYBR,,Unkn,4761 B,,18.6256348645309,18.6256348645309,0,93142999944.9258,10.9691502215562,93142999944.9258,0,60,
,H12,SYBR,,Unkn,4761 B,,17.9529324863595,17.9529324863595,0,145870953981.437,11.1639688232066,145870953981.437,0,60,
