"ID_Band","TimePoint","Treatment","AgeCategory","Sex","Mom_ID","Cohort","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes.x","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell","PlateNumber","TubeID","Extractor","CORT.ng.mL.","Notes.y"
4579,"Treatment","E","Older","F",4171,2,"No","200","212","No","0.6","No","No","U","58","2:25","","",113,"",NA,NA,NA,NA,NA,NA,NA,4,106,"BH",1.179161203,""
4582,"Baseline","E","Younger","F",4222,3,"No","269","271","No","0.4","0.5","No","No","No","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4582,"Heat","E","Younger","F",4222,3,"No","312","331","No","0.4","No","No","U","58","2:50","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,97,"BH",3.670771506,""
4582,"Treatment","E","Younger","F",4222,3,"No","243","247","No","0.4","0.5","No","U","52","No","050124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,110,"BH",1.424137493,""
4586,"Baseline","C","Older","F",4222,3,"No","270","262","No","0.5","0.6","No","L","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,1,7,"BH",1.411193388,"Lysed"
4586,"Treatment","C","Older","F",4222,3,"No","276","203","No","0.6","No","No","U","No","3:00/6:30","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,1,2,"BH",5.505247532,"Lysed"
4593,"Baseline","B","Older","M",4149,2,"No","180","170","No","0.3","0.4","No","U","56","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,6,154,"MRM",2.844350167,""
4593,"Treatment","B","Older","M",4149,2,"No","326","272","No","0.6","No","No","U","62","1:30","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,6,152,"MRM",10.15745773,""
4600,"Baseline","B","Older","M",4184,3,"No","170","170","No","0.6","0.7","No","No","63","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,9,225,"BH",4.361357716,"Lysed"
4600,"Treatment","B","Older","M",4184,3,"No","242","244","No","0.3","No","No","U","63","3:00","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,9,234,"BH",6.819620052,"Lysed"
4601,"Baseline","C","Older","F",4184,3,"No","242","245","No","0.5","0.6","No","L","56","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,4,96,"BH",0.79720613,"Lysed"
4601,"Treatment","C","Older","F",4184,3,"No","143","133","No","1.8","No","No","U","56","1:21","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,98,"BH",4.136421397,""
4604,"Baseline","D","Older","F",4184,3,"No","212","244","No","0.5","0.6","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,2,46,"MRM",1.468740072,"Lysed"
4604,"Treatment","D","Older","F",4184,3,"No","220","204","No","0.5","No","No","U","62","2:09","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,2,30,"MRM",0.495410936,""
4608,"Baseline","C","Older","F",4124,1,"No","141","132","No","0.1","0.2","No","No","34","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA,8,215,"BH",0.000500511,"Milky, was transferred out of bad tube"
4608,"Treatment","C","Older","F",4124,1,"No","255","244","No","0.6","No","No","U","54","3:00","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,8,221,"BH",3.697049599,"Lysed"
4612,"Baseline","E","Older","F",4412,1,"No","223","283","247","0.4","0.3","No","U","50","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA,6,144,"MRM",NA,"Error occurred during extraction could not run sample"
4612,"Heat","E","Older","F",4412,1,"No","300","290","No","1.3","No","No","U","50","1:02","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,6,155,"MRM",12.79971871,""
4612,"Treatment","E","Older","F",4412,1,"No","253","242","No","0.6","No","No","U","51","2:27","031324A","",113,"Fatty",NA,NA,NA,NA,NA,NA,NA,6,147,"MRM",1.532691351,""
4613,"Baseline","B","Older","M",4412,4,"No","234","238","No","0.7","No","No","U","56","2:46","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,8,211,"BH",0.545393897,""
4613,"Treatment","B","Older","M",4412,4,"No","227","227","No","0.6","No","No","L","56","3:00/4:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,8,217,"BH",2.750076533,"Lysed"
4614,"Baseline","B","Older","M",4340,1,"No","188","179","No","No","No","No","No","55","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4614,"Treatment","B","Older","M",4340,1,"No","294","292","No","0.6","No","No","U","58","3:00","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4619,"Baseline","E","Older","F",4470,3,"No","281","279","No","0.6","0.6","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,3,76,"MRM",1.337245638,""
4619,"Heat","E","Older","F",4470,3,"No","296","306","No","0.4","No","No","U","56","2:41","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,3,63,"MRM",3.53997886,""
4619,"Treatment","E","Older","F",4470,3,"No","324","312","No","0.6","0.6","No","U","52","No","050124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,3,79,"MRM",1.953806121,"Lysed"
4620,"Baseline","B","Older","F",4470,3,"No","253","254","No","0.5","0.5","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,7,188,"MRM",0.983414102,""
4620,"Treatment","B","Older","F",4470,3,"No","333","327","No","0.4","No","No","U","54","2:42","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,194,"MRM",2.526283869,""
4621,"Baseline","D","Older","F",4470,3,"No","259","265","No","0.7","0.7","No","U","52","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,9,228,"BH",1.602584603,""
4621,"Treatment","D","Older","F",4470,3,"No","343","332","No","0.6","No","No","U/L","52","3:00/4:14","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,9,233,"BH",2.066950078,"Lysed"
4622,"Baseline","A","Older","F",4470,3,"No","No","No","No","No","No","No","No","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4622,"Treatment","A","Older","F",4470,3,"No","302","265","No","0.6","No","No","U","54","3:01/6:30","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,1,8,"BH",6.715365421,""
4625,"Baseline","E","Younger","F",4450,4,"No","241","240","No","0.3","0.3","No","U","58","1:46","031324A","75001L04",118,"",974.0627332,63.21475406,0.064898032,21.69972135,353530.2255,13.93420856,362.9440008,NA,NA,NA,NA,NA
4625,"Heat","E","Younger","F",4450,4,"No","313","315","No","1.1","No","No","U","1.1","3:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4625,"Treatment","E","Younger","F",4450,4,"No","208","203","No","0.4","No","No","U","54","2:32","","",113,"",NA,NA,NA,NA,NA,NA,NA,4,88,"BH",3.179701263,"Lysed"
4703,"Baseline","B","Younger","F",4112,5,"No","178","183","No","1.8","1.8","No","U","58","1:20","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,6,157,"MRM",1.532691351,""
4703,"Treatment","B","Younger","F",4112,5,"No","205","206","No","0.7","No","No","No","No","3:00/3:44","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,6,166,"MRM",2.273457942,""
4704,"Baseline","C","Younger","F",4112,5,"No","263","243","No","0.7","No","No","U","56","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,9,240,"BH",2.570964425,""
4704,"Treatment","C","Younger","F",4112,5,"No","181","190","No","0.5","No","No","No","63","2:24","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,9,239,"BH",1.602584603,""
4705,"Baseline","A","Younger","M",4184,5,"No","267","271","No","0.7","No","No","U","54","2:24","042224A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,5,132,"BH",0.618275968,""
4705,"Treatment","A","Younger","M",4184,5,"No","270","No","No","No","No","No","L","34","5:00/4:13","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,120,"BH",1.062924178,"Lysed"
4707,"Baseline","A","Younger","F",4165,4,"No","232","230","No","0.4","No","No","U/L","52","2:58","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,5,126,"BH",2.285050454,"Lysed"
4707,"Treatment","A","Younger","F",4165,4,"No","178","133","No","0.6","No","No","U","No","3:00/4:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,124,"BH",3.091743729,"Lysed"
4708,"Baseline","A","Older","M",4165,3,"No","231","228","No","0.3","0.3","No","U","56","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,5,131,"BH",0.463078997,""
4708,"Treatment","A","Older","M",4165,3,"No","241","270","No","0.3","No","No","U","60","3:00/5:30","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,123,"BH",1.699836538,""
4712,"Baseline","B","Younger","F",4123,4,"No","211","212","No","0.4","0.4","No","U/L","54","1:59","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,5,121,"BH",0.463078997,""
4712,"Treatment","B","Younger","F",4123,4,"No","211","210","No","0.3","No","No","U","54","1:36","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,118,"BH",4.284394873,""
4713,"Baseline","A","Younger","F",4115,4,"No","222","No","No","0.4","No","No","U","52","1:34","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,2,56,"MRM",0.823068348,""
4713,"Treatment","A","Younger","F",4115,4,"No","273","261","No","0.6","No","No","U","52","2:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,2,55,"MRM",2.730062555,""
4715,"Baseline","C","Older","F",4115,4,"No","348","253","294","0.5","No","No","L","50","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
